areaType,areaName,areaCode,date,newCasesBySpecimenDate,cumCasesBySpecimenDate,newFirstEpisodesBySpecimenDate,cumFirstEpisodesBySpecimenDate,newReinfectionsBySpecimenDate,cumReinfectionsBySpecimenDate
overview,United Kingdom,K02000001,2021-04-02,2747,4434558,2701,4420277,46,14281
overview,United Kingdom,K02000001,2021-04-01,3674,4431811,3600,4417576,74,14235
overview,United Kingdom,K02000001,2021-03-31,3967,4428137,3899,4413976,68,14161
overview,United Kingdom,K02000001,2021-03-30,3779,4424170,3702,4410077,77,14093
overview,United Kingdom,K02000001,2021-03-29,4196,4420391,4113,4406375,83,14016
overview,United Kingdom,K02000001,2021-03-28,5029,4416195,4959,4402262,70,13933
overview,United Kingdom,K02000001,2021-03-27,3731,4411166,3683,4397303,48,13863
overview,United Kingdom,K02000001,2021-03-26,4567,4407435,4506,4393620,61,13815
overview,United Kingdom,K02000001,2021-03-25,5616,4402868,5534,4389114,82,13754
overview,United Kingdom,K02000001,2021-03-24,6223,4397252,6130,4383580,93,13672
overview,United Kingdom,K02000001,2021-03-23,5481,4391029,5398,4377450,83,13579
overview,United Kingdom,K02000001,2021-03-22,6458,4385548,6378,4372052,80,13496
overview,United Kingdom,K02000001,2021-03-21,5388,4379090,5325,4365674,63,13416
overview,United Kingdom,K02000001,2021-03-20,4246,4373702,4204,4360349,42,13353
overview,United Kingdom,K02000001,2021-03-19,5176,4369456,5111,4356145,65,13311
overview,United Kingdom,K02000001,2021-03-18,5623,4364280,5575,4351034,48,13246
overview,United Kingdom,K02000001,2021-03-17,5976,4358657,5913,4345459,63,13198
overview,United Kingdom,K02000001,2021-03-16,5849,4352681,5791,4339546,58,13135
overview,United Kingdom,K02000001,2021-03-15,6697,4346832,6633,4333755,64,13077
overview,United Kingdom,K02000001,2021-03-14,4425,4340135,4384,4327122,41,13013
overview,United Kingdom,K02000001,2021-03-13,4379,4335710,4340,4322738,39,12972
overview,United Kingdom,K02000001,2021-03-12,5716,4331331,5664,4318398,52,12933
overview,United Kingdom,K02000001,2021-03-11,5933,4325615,5876,4312734,57,12881
overview,United Kingdom,K02000001,2021-03-10,6251,4319682,6173,4306858,78,12824
overview,United Kingdom,K02000001,2021-03-09,6487,4313431,6385,4300685,102,12746
overview,United Kingdom,K02000001,2021-03-08,6890,4306944,6789,4294300,101,12644
overview,United Kingdom,K02000001,2021-03-07,4410,4300054,4371,4287511,39,12543
overview,United Kingdom,K02000001,2021-03-06,4628,4295644,4592,4283140,36,12504
overview,United Kingdom,K02000001,2021-03-05,5467,4291016,5409,4278548,58,12468
overview,United Kingdom,K02000001,2021-03-04,5937,4285549,5862,4273139,75,12410
overview,United Kingdom,K02000001,2021-03-03,6172,4279612,6101,4267277,71,12335
overview,United Kingdom,K02000001,2021-03-02,6919,4273440,6801,4261176,118,12264
overview,United Kingdom,K02000001,2021-03-01,7191,4266521,7042,4254375,149,12146
overview,United Kingdom,K02000001,2021-02-28,4873,4259330,4826,4247333,47,11997
overview,United Kingdom,K02000001,2021-02-27,4949,4254457,4910,4242507,39,11950
overview,United Kingdom,K02000001,2021-02-26,6783,4249508,6713,4237597,70,11911
